algorithm,n_queens,seed,found,time_seconds,nodes_explored
backtracking_first_unassigned_variable_lcv,12,22,True,0.027944,128
backtracking_first_unassigned_variable_lcv,12,23,True,0.028611,128
backtracking_first_unassigned_variable_lcv,12,24,True,0.02592,128
backtracking_first_unassigned_variable_lcv,12,25,True,0.026446,128
backtracking_first_unassigned_variable_lcv,12,26,True,0.025996,128
backtracking_first_unassigned_variable_lcv,12,27,True,0.026402,128
backtracking_first_unassigned_variable_lcv,12,28,True,0.032478,128
backtracking_first_unassigned_variable_lcv,12,29,True,0.028906,128
backtracking_first_unassigned_variable_lcv,12,30,True,0.026519,128
backtracking_first_unassigned_variable_lcv,15,1,True,0.300427,334
backtracking_first_unassigned_variable_lcv,15,2,True,0.26284,334
backtracking_first_unassigned_variable_lcv,15,3,True,0.127931,334
